Date,Description,Amount,Schedule C Category
01-04-21,Deposit,3846.25,Business Income
01-04-21,IB INTERNET TRANSFER FROM ACCOUNT *8069,175,Account Transfers
01-04-21,ATM Withdrawal 1226 S. BROADWAY SULPHUR SPRI NT #4349,-203,Owners Draw
01-04-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
01-04-21,ATM Withdrawal US HWY 271 SOUTH GRANT O #4349,-1004.25,Owners Draw
01-04-21,ATM Withdrawal 919 GILMER ST SULPHUR SPRI NT #0759,-200,Owners Draw
01-04-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-15.74,Business Supplies
01-04-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-32.03,Vehicle Expenses:Fuel
01-04-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-15.8,Vehicle Expenses:Fuel
01-04-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-13.66,Vehicle Expenses:Fuel
01-04-21,Debit Card TACO BELL 009540 SULPHUR SPRI NT #4349,-45.96,Meals
01-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-04-21,Debit Card SQ *JJMEATMARKET Sulphur Spri nT #4349,-107.66,Meals
01-04-21,Debit Card DAIRY QUEEN #146 SULPHUR SPRI NT #4349,-11.25,Meals
01-04-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-83.88,COGS:Materials & Supplies
01-04-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-45.01,COGS:Materials & Supplies
01-04-21,Debit Card CHILI'S SULPHUR SULPHUR SPRI NT #4349,-51.02,Meals
01-04-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-25.34,COGS:Materials & Supplies
01-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-25.27,Meals
01-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-04-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-300,Owners Draw
01-04-21,Debit Card EXXONMOBIL 47 SULPHUR SPRI NT #4349,-34.54,Vehicle Expenses:Fuel
01-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-5.82,Meals
01-04-21,Debit Card AMAZON.COM*TB5B7 SEATTLE W #4349,-41.09,Business Supplies
01-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-04-21,Debit Card WM SUPERCENTER # SULPHUR SPRI NT #4349,-15.41,Business Supplies
01-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-15.33,Meals
01-04-21,Debit Card PANDA EXPRESS #2 SULPHUR SPRI NT #0759,-11.93,Meals
01-04-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-04-21,Debit RCR MAC TOOLS - GILM 309-922-9237 T #4349,-200,COGS:Materials & Supplies
01-04-21,Cash Roundup Transfer,-10.16,Miscellaneous Expenses
01-04-21,Check 3303,-500,Paid Checks
01-04-21,Check 3304,-900,Paid Checks
01-05-21,ACH Square Inc 210105 P2,493.71,Business Income
01-05-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-14.62,Business Supplies
01-05-21,Debit Card TIERRA DEL SOL SULPHUR SPRI NT #4349,-33.23,Meals
01-05-21,Debit Card GT TOOLS - MATCO PARIS T #4349,-50,COGS:Materials & Supplies
01-05-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-05-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-8.41,Meals
01-05-21,Withdrawal,-600,Owners Draw
01-05-21,Cash Roundup Transfer,-1.92,Miscellaneous Expenses
01-05-21,Check 3301,-1050,Paid Checks
01-05-21,Check 3302,-750,Paid Checks
01-06-21,ACH Square Inc 210106 P2,459.72,Business Income
01-06-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-33.99,Business Supplies
01-06-21,Debit Card SUPER HANDY SULPHUR SPRI NT #4349,-22.17,Business Supplies
01-06-21,Debit Card JOE BOBS #2 SULPHUR SPRI NT #4349,-34.91,Vehicle Expenses:Fuel
01-06-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-15.43,Vehicle Expenses:Fuel
01-06-21,Debit Card CHICK-FIL-A #041 SULPHUR SPRI NT #4349,-26.07,Meals
01-06-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-28.03,COGS:Materials & Supplies
01-06-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-14.14,COGS:Materials & Supplies
01-06-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-46.54,COGS:Materials & Supplies
01-06-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-13.03,Meals
01-06-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-06-21,ACH AM INCOME LIFE INS.PREM 800-433-3405,-69.42,Owners Draw
01-06-21,ACH AM INCOME LIFE INS.PREM 800-433-3405,-22.98,Owners Draw
01-06-21,Cash Roundup Transfer,-5.87,Miscellaneous Expenses
01-06-21,Check 3306,-250,Paid Checks
01-07-21,Deposit,1867.46,Business Income
01-07-21,ACH Square Inc 210107 P2,1194.07,Business Income
01-07-21,Debit Card SHELL SERVICE S SULPHUR SPRI NT #4349,-14.68,Vehicle Expenses:Fuel
01-07-21,Debit Card INSTACART SAN FRANCISC OC #4349,-205.03,Owners Draw
01-07-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-07-21,Cash Roundup Transfer,-1.47,Miscellaneous Expenses
01-07-21,Check 2932,-325,Paid Checks
01-08-21,Deposit,5270,Business Income
01-08-21,Deposit,300,Business Income
01-08-21,Transfer Deposit Loan proceeds,3000,Business Income
01-08-21,ACH Square Inc 210108 P2,224.75,Business Income
01-08-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-15.43,Vehicle Expenses:Fuel
01-08-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-8.16,Vehicle Expenses:Fuel
01-08-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-6.79,Business Supplies
01-08-21,Debit Card PRICE INTERNATIO 903-5979363 T #4349,-34.05,COGS:Materials & Supplies
01-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-75,COGS:Materials & Supplies
01-08-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-187.78,COGS:Materials & Supplies
01-08-21,Debit Card WHATABURGER 773 SULPHUR SPRI NT #0759,-3.05,Meals
01-08-21,Debit Card Prime Video*SV96 888-802-3080 W #4349,-14.06,Owners Draw
01-08-21,Debit Card Guaranty Pay Gua Mount Pleasa nT #4349,-100,Owners Draw
01-08-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #0759,-5.82,Meals
01-08-21,Debit RCR AT&T*BILL PAYMEN 8003310500 T #4349,-1340.81,Utilities:Phone
01-08-21,Cash Roundup Transfer,-5.05,Miscellaneous Expenses
01-11-21,ACH Square Inc 210111 P2,715.53,Business Income
01-11-21,Debit RCR Rev AT&T*BILL PAYMEN 8003310500 T #4349,1340.81,Uncategorized
01-11-21,ATM Withdrawal 919 GILMER ST SULPHUR SPRI NT #4349,-320,Owners Draw
01-11-21,Debit Card JOES FAST LANE SULPHUR SPRI NT #4349,-10.42,Vehicle Expenses:Fuel
01-11-21,Debit Card Wal-Mart Super C SULPHUR SPRI NT #4349,-173.2,Business Supplies
01-11-21,Debit Card BROOKSHIR 809 GI SULPHUR SPRI NT #4349,-3.29,Business Supplies
01-11-21,Debit Card WAL-MART #0417 SULPHUR SPRI NT #4349,-502.01,Business Supplies
01-11-21,Debit Card SUPER HANDY SULPHUR SPRI NT #0759,-7.85,Business Supplies
01-11-21,Debit Card SUPER HANDY 7 SULPHUR SPRI NT #4349,-8.16,Business Supplies
01-11-21,Debit Card E-Z MART 4282 SULPHUR SPRI NT #4349,-15.66,Vehicle Expenses:Fuel
01-11-21,Debit Card BODACIOUS BBQ SULPHUR SPRI NT #4349,-9.85,Meals
01-11-21,Debit Card CHICK-FIL-A #041 SULPHUR SPRI NT #4349,-57.68,Meals
01-11-21,Debit Card COLLEGE PAY AMARILLO T #4349,-25,Owners Draw
01-11-21,Debit Card COLLEGE PAY AMARILLO T #4349,-513.75,Owners Draw
01-11-21,Debit Card COLLEGE PAY AMARILLO T #4349,-12.59,Owners Draw
01-11-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-15.2,Meals
01-11-21,Debit Card NAPA SULPHUR SPR SULPHUR SPRI NT #4349,-45.23,COGS:Materials & Supplies
01-11-21,Debit Card ERIC JONES SNAP 903-717-0020 T #4349,-200,Owners Draw
01-11-21,Debit Card Prime Video*N45D 888-802-3080 W #4349,-15.14,Owners Draw
01-11-21,Debit Card Subway 38111 Sulphur Spri nT #4349,-3.66,Meals
01-11-21,Debit Card Subway 38111 Sulphur Spri nT #4349,-2.15,Meals
01-11-21,Debit Card Subway 38111 Sulphur Spri nT #4349,-3.66,Meals
01-11-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-9.71,Meals
01-11-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-5.82,Meals
01-11-21,Debit Card MCDONALD'S F6509 SULPHUR SPGS T #4349,-5.82,Meals
01-11-21,Debit RCR HLU*HULU 1339504 HULU.COM/BIL LC #4349,-2.2,Owners Draw
01-11-21,IB INTERNET TRANSFER TO ACCOUNT *0851,-350,Account Transfers
01-11-21,IB INTERNET TRANSFER TO ACCOUNT *9922,-450,Account Transfers
01-11-21,Withdrawal,-700,Owners Draw
